hhid,d_code,v_code,a13,group,b11,b12,d11,d13_q_01,d13_q_02,d13_q_03,d13_q_04,d13_q_05,d13_q_06,d13_q_07,d13_q_08,d13_q_09,d13_q_10,d13_u_01,d13_u_02,d13_u_03,d13_u_04,d13_u_05,d13_u_06,d13_u_07,d13_u_08,d13_u_09,d13_u_10,d6_code_1,d6_code_2,d6_code_3,d6_code_4,d6_code_5,d6_code_6,d6_code_7,d61_1,d61_2,d61_3,d61_4,d61_5,d61_6,d61_7,g21,g_crops,g_livestock,g22,g23,g24,g25,g26,g27,g28,g29_men,g29_women,g29_child,g210_men,g210_women,g210_child,g211,g212,g212_spec,l11,l11_id,l_1_code_01,l_1_code_02,l_1_code_03,l_1_code_04,l_1_code_05,l_1_code_06,l_1_code_07,l_1_code_08,l_1_code_09,l_1_code_10,l_1_code_11,l_1_code_12,l_1_code_13,l_1_code_14,l_1_code_15,l_1_code_16,l_1_code_17,l_1_code_18,l12_01,l12_02,l12_03,l12_04,l12_05,l12_06,l12_07,l12_08,l12_09,l12_10,l12_11,l12_12,l12_13,l12_14,l12_15,l12_16,l12_17,l12_18
101204,1,101,204,Control,male,9,10,60,30,45,15,14,12,12,11,9,17,decimals,decimals,decimals,decimals,decimals,decimals,decimals,decimals,decimals,decimals,green manure,mulching,seedbed method for rice,alternate wet/dry method,line planting,double transplanting of paddy,dapog method of seed sowing,0,0,0,0,0,0,0,,262800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101113,1,101,113,Control,male,6,3,90,75,30,,,,,,,,decimals,decimals,decimals,,,,,,,,green manure,mulching,seedbed method for rice,alternate wet/dry method,line planting,double transplanting of paddy,dapog method of seed sowing,0,0,0,0,0,0,0,none,,9000,1000,5000,none,none,none,none,none,4000,none,none,none,none,none,none,none,,yes,2,rice and cereals,wheat flour,white roots and tubers,yellow/orange vegetables and tubers,dark green leafy vegetables,other vegetables,vitamin a rich fruits,other fruits,organ meat,flesh meat,eggs,fish,"legumes, nuts and seeds",milk and milk products,oils and fats,sweets,"spices, condiments, beverages",Any food from OUTSIDE of the home?,yes,0,yes,yes,yes,yes,0,0,0,0,0,yes,0,0,0,0,0,0
101602,1,101,602,Control,male,5,8,,30,24,24,25,16,18,30,,,,decimals,decimals,decimals,decimals,decimals,decimals,decimals,,,green manure,mulching,seedbed method for rice,alternate wet/dry method,line planting,double transplanting of paddy,dapog method of seed sowing,0,0,0,0,yes,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101314,1,101,314,Control,0,8,3,30,15,9,,,,,,,,decimals,decimals,decimals,,,,,,,,green manure,mulching,seedbed method for rice,alternate wet/dry method,line planting,double transplanting of paddy,dapog method of seed sowing,0,0,0,0,0,0,0,,-1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101401,1,101,401,Control,male,6,3,25,25,15,,,,,,,,decimals,decimals,decimals,,,,,,,,green manure,mulching,seedbed method for rice,alternate wet/dry method,line planting,double transplanting of paddy,dapog method of seed sowing,yes,0,0,0,0,0,0,,5800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101606,1,101,606,Control,male,5,12,21,12,15,12,9,9,9,6,9,,decimals,decimals,decimals,decimals,decimals,decimals,decimals,decimals,decimals,,green manure,mulching,seedbed method for rice,alternate wet/dry method,line planting,double transplanting of paddy,dapog method of seed sowing,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101102,1,101,102,Control,male,4,12,39,33,30,30,30,30,27,21,21,,decimals,decimals,decimals,decimals,decimals,decimals,decimals,decimals,decimals,,green manure,mulching,seedbed method for rice,alternate wet/dry method,line planting,double transplanting of paddy,dapog method of seed sowing,0,0,yes,0,yes,0,0,none,9100,,none,none,60000,none,none,none,none,none,none,none,none,none,none,-99,none,,yes,2,rice and cereals,wheat flour,white roots and tubers,yellow/orange vegetables and tubers,dark green leafy vegetables,other vegetables,vitamin a rich fruits,other fruits,organ meat,flesh meat,eggs,fish,"legumes, nuts and seeds",milk and milk products,oils and fats,sweets,"spices, condiments, beverages",Any food from OUTSIDE of the home?,yes,yes,yes,yes,0,yes,yes,0,yes,yes,yes,yes,yes,yes,yes,yes,0,0
101615,1,101,615,Control,male,3,no plots,,,,,,,,,,,,,,,,,,,,,green manure,,,,,,,,,,,,,,3600,,13500,none,none,8800,none,none,none,none,25000,none,none,none,none,none,none,none,,yes,2,rice and cereals,wheat flour,white roots and tubers,yellow/orange vegetables and tubers,dark green leafy vegetables,other vegetables,vitamin a rich fruits,other fruits,organ meat,flesh meat,eggs,fish,"legumes, nuts and seeds",milk and milk products,oils and fats,sweets,"spices, condiments, beverages",Any food from OUTSIDE of the home?,yes,yes,yes,yes,yes,yes,yes,0,0,0,0,0,0,0,yes,yes,yes,0
101507,1,101,507,Control,male,10,8,,50,45,30,32,25,12,6,,,,decimals,decimals,decimals,decimals,decimals,decimals,decimals,,,green manure,mulching,seedbed method for rice,alternate wet/dry method,line planting,double transplanting of paddy,dapog method of seed sowing,0,0,0,0,0,0,0,,-4500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101308,1,101,308,Control,male,4,7,60,30,30,30,21,18,9,,,,decimals,decimals,decimals,decimals,decimals,decimals,decimals,,,,green manure,mulching,seedbed method for rice,alternate wet/dry method,line planting,double transplanting of paddy,dapog method of seed sowing,0,0,0,0,0,0,0,120000,32020,8600,none,none,none,none,none,none,none,70000,none,none,none,none,none,none,none,,yes,2,rice and cereals,wheat flour,white roots and tubers,yellow/orange vegetables and tubers,dark green leafy vegetables,other vegetables,vitamin a rich fruits,other fruits,organ meat,flesh meat,eggs,fish,"legumes, nuts and seeds",milk and milk products,oils and fats,sweets,"spices, condiments, beverages",Any food from OUTSIDE of the home?,yes,0,yes,0,yes,yes,0,0,0,0,0,yes,0,0,yes,yes,yes,0
