SECMCA 
Sector monetario y financiero
  Moneda y cr?dito (estad?sticas armonizadas)

Credito total por sector
Unidades: Millones de moneda nacional

; Honduras;
; Crédito total al sector público;
 2001M12;4,211.7;
 2002M01;4,504.9;
 2002M02;4,376.2;
 2002M03;4,708.6;
 2002M04;4,811.4;
 2002M05;5,038.0;
 2002M06;5,552.1;
 2002M07;5,809.1;
 2002M08;5,836.2;
 2002M09;5,453.0;
 2002M10;5,283.4;
 2002M11;5,072.0;
 2002M12;5,550.9;
 2003M01;5,960.3;
 2003M02;6,188.3;
 2003M03;6,397.5;
 2003M04;6,260.3;
 2003M05;6,176.7;
 2003M06;6,041.1;
 2003M07;6,104.5;
 2003M08;5,857.8;
 2003M09;5,851.0;
 2003M10;5,636.1;
 2003M11;5,402.2;
 2003M12;5,362.8;
 2004M01;5,681.0;
 2004M02;5,691.2;
 2004M03;6,223.0;
 2004M04;6,353.9;
 2004M05;6,238.8;
 2004M06;7,124.7;
 2004M07;7,894.5;
 2004M08;8,157.0;
 2004M09;8,619.5;
 2004M10;8,668.8;
 2004M11;8,891.9;
 2004M12;10,100.2;
 2005M01;10,745.4;
 2005M02;11,181.0;
 2005M03;11,771.5;
 2005M04;12,688.0;
 2005M05;12,322.0;
 2005M06;13,237.3;
 2005M07;13,534.3;
 2005M08;13,646.3;
 2005M09;14,008.3;
 2005M10;14,122.2;
 2005M11;14,386.6;
 2005M12;15,159.0;
 2006M01;15,324.5;
 2006M02;16,079.3;
 2006M03;17,920.1;
 2006M04;18,222.8;
 2006M05;18,326.1;
 2006M06;19,127.1;
 2006M07;19,234.7;
 2006M08;17,724.1;
 2006M09;18,262.5;
 2006M10;16,572.6;
 2006M11;16,567.7;
 2006M12;16,926.5;
 2007M01;17,269.6;
 2007M02;17,963.8;
 2007M03;17,953.1;
 2007M04;18,237.4;
 2007M05;16,557.6;
 2007M06;18,553.6;
 2007M07;17,355.3;
 2007M08;17,095.2;
 2007M09;16,592.9;
 2007M10;15,375.2;
 2007M11;14,718.6;
 2007M12;14,269.6;
 2008M01;14,237.6;
 2008M02;14,773.0;
 2008M03;15,335.6;
 2008M04;16,632.0;
 2008M05;16,431.9;
 2008M06;17,699.7;
 2008M07;16,545.6;
 2008M08;16,128.8;
 2008M09;15,388.5;
 2008M10;15,836.9;
 2008M11;17,011.2;
 2008M12;17,543.7;
 2009M01;16,533.2;
 2009M02;17,349.5;
 2009M03;16,929.6;
 2009M04;16,699.7;
 2009M05;17,861.9;
 2009M06;19,560.5;
 2009M07;20,314.4;
 2009M08;23,058.5;
 2009M09;23,738.6;
 2009M10;24,233.1;
 2009M11;25,058.3;
 2009M12;26,414.0;
 2010M01;25,314.8;
 2010M02;28,253.4;
 2010M03;30,050.7;
 2010M04;31,746.3;
 2010M05;31,959.5;
 2010M06;34,440.4;
 2010M07;35,283.1;
 2010M08;35,689.7;
 2010M09;34,028.1;
 2010M10;35,732.4;
 2010M11;37,191.1;
 2010M12;39,601.8;
 2011M01;40,789.9;
 2011M02;45,919.2;
 2011M03;49,284.7;
 2011M04;51,009.8;
 2011M05;52,014.8;
 2011M06;54,961.3;
 2011M07;53,273.0;
 2011M08;50,142.5;
 2011M09;49,713.3;
 2011M10;47,742.7;
 2011M11;47,039.8;
 2011M12;48,634.8;
 2012M01;52,130.9;
 2012M02;53,772.8;
 2012M03;55,597.8;
 2012M04;55,381.5;
 2012M05;50,984.4;
 2012M06;52,637.6;
 2012M07;52,525.7;
 2012M08;50,373.3;
 2012M09;49,425.2;
 2012M10;46,832.3;
 2012M11;46,515.1;
 2012M12;45,972.2;
 2013M01;48,081.0;
 2013M02;48,273.1;
 2013M03;48,914.3;
 2013M04;52,460.7;
 2013M05;52,653.8;
 2013M06;54,265.9;
 2013M07;55,496.3;
 2013M08;54,892.8;
 2013M09;54,416.7;
 2013M10;50,605.6;
 2013M11;49,964.5;
 2013M12;47,940.7;
 2014M01;51,572.5;
 2014M02;53,642.9;
 2014M03;55,344.3;
 2014M04;57,311.5;
 2014M05;56,571.6;
 2014M06;54,786.4;
 2014M07;56,233.1;
 2014M08;57,936.1;
 2014M09;55,306.3;
 2014M10;53,977.3;
 2014M11;54,241.4;
 2014M12;53,973.5;
 2015M01;55,619.0;
 2015M02;59,915.5;
 2015M03;63,681.0;
 2015M04;66,534.8;
 2015M05;65,314.0;
 2015M06;65,637.2;
 2015M07;64,493.4;
 2015M08;64,769.2;
 2015M09;65,167.6;
 2015M10;63,978.9;
 2015M11;63,954.4;
 2015M12;65,028.6;
 2016M01;65,585.1;
 2016M02;67,814.7;
 2016M03;69,507.1;
 2016M04;70,908.2;
 2016M05;66,875.8;
 2016M06;68,725.5;
 2016M07;63,996.2;
 2016M08;65,205.4;
 2016M09;63,715.5;
 2016M10;56,165.2;
 2016M11;56,145.6;
 2016M12;60,116.8;
 2017M01;62,085.1;
 2017M02;69,115.1;
 2017M03;70,777.1;
 2017M04;72,968.5;
 2017M05;71,121.8;
 2017M06;74,199.8;
 2017M07;74,050.0;
 2017M08;73,081.9;
 2017M09;71,739.1;
 2017M10;71,588.5;
 2017M11;70,935.8;
 2017M12;74,946.0;
 2018M01;75,451.2;
 2018M02;77,369.4;
 2018M03;77,671.2;
 2018M04;80,669.4;
 2018M05;78,811.3;
 2018M06;81,093.4;
 2018M07;79,650.7;
 2018M08;77,392.8;
 2018M09;75,694.4;
 2018M10;74,734.5;
 2018M11;71,747.0;
 2018M12;75,612.2;
 2019M01;76,685.7;
 2019M02;76,133.7;
 2019M03;78,355.7;
 2019M04;78,637.0;
 2019M05;78,223.9;
 2019M06;81,601.9;
 2019M07;80,705.9;
 2019M08;80,817.7;
 2019M09;81,957.5;
