Meses;Valor
 2002M01;4,504.90
 2002M02;4,376.20
 2002M03;4,708.60
 2002M04;4,811.40
 2002M05;5,038.00
 2002M06;5,552.10
 2002M07;5,809.10
 2002M08;5,836.20
 2002M09;5,453.00
 2002M10;5,283.40
 2002M11;5,072.00
 2002M12;5,550.90
 2003M01;5,960.30
 2003M02;6,188.30
 2003M03;6,397.50
 2003M04;6,260.30
 2003M05;6,176.70
 2003M06;6,041.10
 2003M07;6,104.50
 2003M08;5,857.80
 2003M09;5,851.00
 2003M10;5,636.10
 2003M11;5,402.20
 2003M12;5,362.80
 2004M01;5,681.00
 2004M02;5,691.20
 2004M03;6,223.00
 2004M04;6,353.90
 2004M05;6,238.80
 2004M06;7,124.70
 2004M07;7,894.50
 2004M08;8,157.00
 2004M09;8,619.50
 2004M10;8,668.80
 2004M11;8,891.90
 2004M12;10,100.20
 2005M01;10,745.40
 2005M02;11,181.00
 2005M03;11,771.50
 2005M04;12,688.00
 2005M05;12,322.00
 2005M06;13,237.30
 2005M07;13,534.30
 2005M08;13,646.30
 2005M09;14,008.30
 2005M10;14,122.20
 2005M11;14,386.60
 2005M12;15,159.00
 2006M01;15,324.50
 2006M02;16,079.30
 2006M03;17,920.10
 2006M04;18,222.80
 2006M05;18,326.10
 2006M06;19,127.10
 2006M07;19,234.70
 2006M08;17,724.10
 2006M09;18,262.50
 2006M10;16,572.60
 2006M11;16,567.70
 2006M12;16,926.50
 2007M01;17,269.60
 2007M02;17,963.80
 2007M03;17,953.10
 2007M04;18,237.40
 2007M05;16,557.60
 2007M06;18,553.60
 2007M07;17,355.30
 2007M08;17,095.20
 2007M09;16,592.90
 2007M10;15,375.20
 2007M11;14,718.60
 2007M12;14,269.60
 2008M01;14,237.60
 2008M02;14,773.00
 2008M03;15,335.60
 2008M04;16,632.00
 2008M05;16,431.90
 2008M06;17,699.70
 2008M07;16,545.60
 2008M08;16,128.80
 2008M09;15,388.50
 2008M10;15,836.90
 2008M11;17,011.20
 2008M12;17,543.70
 2009M01;16,533.20
 2009M02;17,349.50
 2009M03;16,929.60
 2009M04;16,699.70
 2009M05;17,861.90
 2009M06;19,560.50
 2009M07;20,314.40
 2009M08;23,058.50
 2009M09;23,738.60
 2009M10;24,233.10
 2009M11;25,058.30
 2009M12;26,414.00
 2010M01;25,314.80
 2010M02;28,253.40
 2010M03;30,050.70
 2010M04;31,746.30
 2010M05;31,959.50
 2010M06;34,440.40
 2010M07;35,283.10
 2010M08;35,689.70
 2010M09;34,028.10
 2010M10;35,732.40
 2010M11;37,191.10
 2010M12;39,601.80
 2011M01;40,789.90
 2011M02;45,919.20
 2011M03;49,284.70
 2011M04;51,009.80
 2011M05;52,014.80
 2011M06;54,961.30
 2011M07;53,273.00
 2011M08;50,142.50
 2011M09;49,713.30
 2011M10;47,742.70
 2011M11;47,039.80
 2011M12;48,634.80
 2012M01;52,130.90
 2012M02;53,772.80
 2012M03;55,597.80
 2012M04;55,381.50
 2012M05;50,984.40
 2012M06;52,637.60
 2012M07;52,525.70
 2012M08;50,373.30
 2012M09;49,425.20
 2012M10;46,832.30
 2012M11;46,515.10
 2012M12;45,972.20
 2013M01;48,081.00
 2013M02;48,273.10
 2013M03;48,914.30
 2013M04;52,460.70
 2013M05;52,653.80
 2013M06;54,265.90
 2013M07;55,496.30
 2013M08;54,892.80
 2013M09;54,416.70
 2013M10;50,605.60
 2013M11;49,964.50
 2013M12;47,940.70
 2014M01;51,572.50
 2014M02;53,642.90
 2014M03;55,344.30
 2014M04;57,311.50
 2014M05;56,571.60
 2014M06;54,786.40
 2014M07;56,233.10
 2014M08;57,936.10
 2014M09;55,306.30
 2014M10;53,977.30
 2014M11;54,241.40
 2014M12;53,973.50
 2015M01;55,619.00
 2015M02;59,915.50
 2015M03;63,681.00
 2015M04;66,534.80
 2015M05;65,314.00
 2015M06;65,637.20
 2015M07;64,493.40
 2015M08;64,769.20
 2015M09;65,167.60
 2015M10;63,978.90
 2015M11;63,954.40
 2015M12;65,028.60
 2016M01;65,585.10
 2016M02;67,814.70
 2016M03;69,507.10
 2016M04;70,908.20
 2016M05;66,875.80
 2016M06;68,725.50
 2016M07;63,996.20
 2016M08;65,205.40
 2016M09;63,715.50
 2016M10;56,165.20
 2016M11;56,145.60
 2016M12;60,116.80
 2017M01;62,085.10
 2017M02;69,115.10
 2017M03;70,777.10
 2017M04;72,968.50
 2017M05;71,121.80
 2017M06;74,199.80
 2017M07;74,050.00
 2017M08;73,081.90
 2017M09;71,739.10
 2017M10;71,588.50
 2017M11;70,935.80
 2017M12;74,946.00
 2018M01;75,451.20
 2018M02;77,369.40
 2018M03;77,671.20
 2018M04;80,669.40
 2018M05;78,811.30
 2018M06;81,093.40
 2018M07;79,650.70
 2018M08;77,392.80
 2018M09;75,694.40
 2018M10;74,734.50
 2018M11;71,747.00
 2018M12;75,612.20
 2019M01;76,685.70
 2019M02;76,133.70
 2019M03;78,355.70
 2019M04;78,637.00
 2019M05;78,223.90
 2019M06;81,601.90
 2019M07;80,705.90
 2019M08;80,817.70
 2019M09;81,957.50
 2019M10;80,853.40
 2019M11;83,374.20
 2019M12;83,094.10
 2020M01;90,600.80
 2020M02;94,130.10
 2020M03;84,574.60
 2020M04;82,936.40
 2020M05;81,820.80
 2020M06;82,624.30
 2020M07;82,651.00
 2020M08;86,431.30
 2020M09;96,508.00
